vOTU,AI05,AI15,AI20,AI28,AI40,AII05,AII15,AII20,AII28,AII40,AIII05,AIII15,AIII20,AIII28,AIII40
NODE_2075_length_5251_cov_4_43283,0,0,16.10147328,0,0,0,0,16.06935563,0,0,0,0,16.3322119,0,0
NODE_5292_length_2615_cov_2_86367,0,0,10.32594482,0,0,0,0,0,0,0,0,0,0,0,0
NODE_1597_length_6403_cov_4_4655,0,0,15.92645727,248.8915742,108.4318511,0,0,5.344333207,435.8125602,134.7167952,0,0,0,305.1955116,97.80969141
NODE_1197_length_8107_cov_7_0734,0,0,23.8021779,51.80377732,40.63833918,0,0,0,99.12489287,40.38040698,0,0,0,53.96656149,31.11928156
NODE_3649_length_3442_cov_93_2678,0,0,172.0907463,61.2444922,9.668601142,0,21.29370628,110.9221811,114.400797,9.038838956,0,9.641619102,118.1878307,53.8128106,10.03847792
NODE_3604_length_3468_cov_8_81102,0,0,26.10238837,5.836078293,0,0,0,8.798153987,0,9.973891262,0,0,8.386811518,7.879732981,0
NODE_4055_length_3168_cov_18_93,0,373.0270656,49.47952738,0,0,0,677.3166059,65.76801886,10.61450694,0,0,441.7904806,75.00310827,0,0
NODE_4609_length_2884_cov_3_17851,0,0,11.17602261,0,0,0,0,0,0,0,0,0,0,0,0
NODE_6294_length_2297_cov_4_6289,0,0,14.47632458,0,0,0,0,8.54366193,8.087243384,0,0,0,9.931750482,0,0
NODE_1726_length_6023_cov_4_37098,0,0,16.52651218,15.96339062,0,0,0,13.16087497,17.91549055,0,0,0,15.00797851,28.63610278,0
NODE_6212_length_2324_cov_3_05421,0,0,11.07601346,0,0,0,0,7.053065593,0,0,0,0,10.77778849,0,0
NODE_2175_length_5058_cov_3_25165,0,0,11.77607751,0,0,0,0,0,0,4.190419593,0,0,0,0,0
NODE_5886_length_2424_cov_2_99156,0,0,12.17611411,16.27235948,0,0,0,5.235265183,31.50655235,0,0,0,8.497164301,13.79914215,0
NODE_1731_length_5997_cov_15_0269,0,0,49.47952738,0,0,0,0,53.66146812,0,0,0,0,72.94318965,0,0
NODE_1407_length_7130_cov_4_54233,0,0,14.37631543,0,0,0,0,0,0,0,0,0,0,0,0
